model_type,pretrained_seed,fold,downstream_seed,LR,weight_decay,best_epoch,val_ECE_mean,val_auprc_mean,val_auroc_mean,val_average_precision_mean,val_balanced_accuracy_mean,val_f1_mean,val_loss,val_mcc_mean,val_optimal_threshold_mean,val_pos_lr_mean,val_ppv_mean,val_precision_mean,val_recall_mean,val_sensitivity_mean,val_specificity_mean,val_supervised_loss
Soft_Clip_with_Frozen_Teacher,0,2,0,0.001,0.0,16,0.06092024967074394,0.7586414217948914,0.6823716759681702,0.7586414217948914,0.6736543774604797,0.6917293071746826,0.6490340828895569,0.3409290909767151,0.666495144367218,2.2279844284057617,0.7666666507720947,0.7666666507720947,0.6301369667053223,0.6301369667053223,0.7171717286109924,0.6490340828895569
Soft_Clip_with_Frozen_Teacher,0,2,0,0.001,0.01,18,0.08031813055276871,0.7278912663459778,0.6628614664077759,0.7278912663459778,0.6253632307052612,0.5950413346290588,0.6640064120292664,0.2520376443862915,0.6809235215187073,2.0342466831207275,0.75,0.75,0.4931506812572479,0.4931506812572479,0.7575757503509521,0.6640064120292664
Soft_Clip_with_Frozen_Teacher,0,2,0,0.001,0.1,20,0.05455099046230316,0.6887452602386475,0.633942186832428,0.6887452602386475,0.6046769022941589,0.739393949508667,0.6723318099975586,0.23757518827915192,0.6184132099151611,1.3342907428741455,0.6630434989929199,0.6630434989929199,0.835616409778595,0.835616409778595,0.3737373650074005,0.6723318099975586
Soft_Clip_with_Frozen_Teacher,0,2,0,0.001,1.0,149,0.03059009462594986,0.7548842430114746,0.6764909625053406,0.7548842430114746,0.6321433782577515,0.7010309100151062,0.642961859703064,0.26386716961860657,0.582414448261261,1.6084740161895752,0.7034482955932617,0.7034482955932617,0.698630154132843,0.698630154132843,0.5656565427780151,0.642961859703064
Soft_Clip_with_Frozen_Teacher,0,2,0,0.0001,0.0,80,0.09902408719062805,0.7596693634986877,0.6739310622215271,0.7596693634986877,0.6348761320114136,0.6691176295280457,0.6855571866035461,0.26485028862953186,0.6161041259765625,1.7630137205123901,0.7222222089767456,0.7222222089767456,0.6232876777648926,0.6232876777648926,0.6464646458625793,0.6855571866035461
Soft_Clip_with_Frozen_Teacher,0,2,0,0.0001,0.01,89,0.11098901182413101,0.7793551683425903,0.6980074644088745,0.7793551683425903,0.6471911072731018,0.6016949415206909,0.6693734526634216,0.2996528744697571,0.8014508485794067,2.533886194229126,0.7888888716697693,0.7888888716697693,0.48630136251449585,0.48630136251449585,0.808080792427063,0.6693734526634216
Soft_Clip_with_Frozen_Teacher,0,2,0,0.0001,0.1,88,0.1493295282125473,0.7190331220626831,0.6468105912208557,0.7190331220626831,0.6342880725860596,0.7236841917037964,0.6894451379776001,0.27540597319602966,0.5577266812324524,1.553938388824463,0.6962025165557861,0.6962025165557861,0.7534246444702148,0.7534246444702148,0.5151515007019043,0.6894451379776001
Soft_Clip_with_Frozen_Teacher,0,2,0,0.0001,1.0,82,0.08258458226919174,0.7716364860534668,0.6903279423713684,0.7716364860534668,0.6241524815559387,0.49275362491607666,0.636461079120636,0.2817770540714264,0.7981157898902893,3.458219289779663,0.8360655903816223,0.8360655903816223,0.3493150770664215,0.3493150770664215,0.8989899158477783,0.636461079120636
Soft_Clip_with_Frozen_Teacher,0,2,0,1e-05,0.0,450,0.10161302983760834,0.7383908033370972,0.6410682201385498,0.7383908033370972,0.5995226502418518,0.6523297429084778,0.6979261040687561,0.19606994092464447,0.6291601061820984,1.4691780805587769,0.6842105388641357,0.6842105388641357,0.6232876777648926,0.6232876777648926,0.5757575631141663,0.6979261040687561
Soft_Clip_with_Frozen_Teacher,0,2,0,1e-05,0.01,374,0.12861686944961548,0.742253303527832,0.6374706029891968,0.742253303527832,0.6106268167495728,0.48076921701431274,0.7042933106422424,0.2497255951166153,0.829291582107544,2.8253424167633057,0.8064516186714172,0.8064516186714172,0.34246575832366943,0.34246575832366943,0.8787878751754761,0.7042933106422424
Soft_Clip_with_Frozen_Teacher,0,2,0,1e-05,0.1,412,0.1306309551000595,0.7459700107574463,0.6504082083702087,0.7459700107574463,0.6103846430778503,0.6000000238418579,0.693717360496521,0.2191828489303589,0.7368478178977966,1.753660798072815,0.7211538553237915,0.7211538553237915,0.5136986374855042,0.5136986374855042,0.7070707082748413,0.693717360496521
Soft_Clip_with_Frozen_Teacher,0,2,0,1e-05,1.0,431,0.10111191123723984,0.7309903502464294,0.6571191549301147,0.7309903502464294,0.6151238679885864,0.7573964595794678,0.6762305498123169,0.27441051602363586,0.4674733877182007,1.3561643362045288,0.6666666865348816,0.6666666865348816,0.8767123222351074,0.8767123222351074,0.35353535413742065,0.6762305498123169
Soft_Clip_with_Frozen_Teacher,0,2,0,0.0005,0.0,26,0.06939275562763214,0.7733981013298035,0.6780821681022644,0.7733981013298035,0.6519994735717773,0.6931408047676086,0.6445819139480591,0.2990735173225403,0.618279755115509,1.8598825931549072,0.732824444770813,0.732824444770813,0.6575342416763306,0.6575342416763306,0.6464646458625793,0.6445819139480591
Soft_Clip_with_Frozen_Teacher,0,2,0,0.0005,0.01,16,0.1071799248456955,0.7579869031906128,0.6912273168563843,0.7579869031906128,0.6457381844520569,0.6172839403152466,0.6568963527679443,0.2924695909023285,0.716520369052887,2.3116438388824463,0.7731958627700806,0.7731958627700806,0.5136986374855042,0.5136986374855042,0.7777777910232544,0.6568963527679443
